,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-12-04,Arsenal - Southampton,1xBet,Betsensation,1xBet,0.7038461538461538,2.9661538461538464,3.9815384615384612,0.7400000000000001,4.200000000000001,3.14,0
1,17,17,2021-12-04,Watford - Manchester City,Asianodds,1xBet,Asianodds,13.613999999999999,6.4193333333333324,0.20600000000000002,15.19,0.22000000000000008,6.86,0
2,16,16,2021-12-04,Tottenham - Norwich,Unibet,Asianodds,1xBet,0.404,3.9566666666666666,7.393333333333333,0.42999999999999994,7.61,4.200000000000001,0
3,15,15,2021-12-04,Southampton - Brighton,1xBet,Unibet,Coolbet,1.5286666666666666,2.1686666666666663,2.1153333333333335,1.6200000000000008,2.1999999999999997,2.1999999999999997,0
4,14,14,2021-12-04,Norwich - Manchester Utd,10x10bet,GGBET,1xBet,5.096153846153846,3.732307692307692,0.5069230769230769,5.6,0.54,4.0,2
5,13,13,2021-12-04,Newcastle - Burnley,Unibet,Betsensation,Coolbet,1.32,2.3973333333333335,2.254,1.3799999999999994,2.3399999999999994,2.45,0
6,12,12,2021-12-04,Manchester Utd - Crystal Palace,1xBet,Betsensation,1xBet,0.6053333333333334,3.1039999999999996,5.05,0.6500000000000001,5.400000000000001,3.3400000000000007,0
7,11,11,2021-12-04,Manchester City - Wolves,Betsensation,10x10bet,1xBet,0.20769230769230773,6.002307692307692,14.021538461538462,0.23,16.0,6.599999999999999,0
8,10,10,2021-12-04,Liverpool - Aston Villa,GGBET,GGBET,1xBet,0.2946153846153846,5.099999999999999,8.649999999999999,0.33,10.03,5.630000000000001,0
9,9,9,2021-12-04,Leicester - Newcastle,GGBET,GGBET,1xBet,0.5707692307692308,3.519230769230769,4.541538461538462,0.62,4.920000000000001,3.659999999999999,0
10,8,8,2021-12-04,Leeds - Brentford,bet365,10x10bet,1xBet,0.9133333333333332,2.7053333333333334,3.1673333333333336,0.9499999999999997,3.299999999999999,2.7999999999999994,0
11,7,7,2021-12-04,Everton - Arsenal,Marathonbet,Coolbet,Marathonbet,2.3373333333333335,2.5806666666666667,1.2106666666666668,2.4600000000000004,1.28,2.75,0
12,6,6,2021-12-04,Crystal Palace - Everton,1xBet,GGBET,1xBet,1.2684615384615383,2.2846153846153845,2.4023076923076925,1.3100000000000003,2.5300000000000002,2.3999999999999995,0
13,5,5,2021-12-04,Chelsea - Leeds,Betsensation,10x10bet,1xBet,0.28846153846153855,4.8769230769230765,10.098461538461539,0.33,11.0,5.299999999999999,0
14,4,4,2021-12-04,Burnley - West Ham,GGBET,1xBet,Betsensation,2.617692307692308,2.5515384615384615,1.0815384615384613,2.759999999999999,1.1299999999999994,2.68,0
15,3,3,2021-12-04,Brighton - Tottenham,1xBet,GGBET,Asianodds,1.81,2.31,1.63,1.91,1.7800000000000002,2.4400000000000004,2
16,2,2,2021-12-04,Brentford - Watford,1xBet,GGBET,1xBet,0.966153846153846,2.613076923076923,2.943076923076923,1.0399999999999996,3.149999999999999,2.759999999999999,0
17,1,1,2021-12-04,Aston Villa - Leicester,GGBET,Betsensation,1xBet,1.4779999999999995,2.3953333333333333,1.9913333333333332,1.59,2.07,2.63,0
18,18,18,2021-12-04,West Ham - Chelsea,Asianodds,Marathonbet,Marathonbet,3.9039999999999995,2.710666666666667,0.7973333333333333,4.1499999999999995,0.84,2.7899999999999996,2
19,19,19,2021-12-04,Wolves - Liverpool,1xBet,Coolbet,Unibet,6.488,3.8006666666666673,0.4486666666666666,7.5,0.4800000000000002,4.1499999999999995,2
